customer_id,offer_taken_date,gender,age,branch_name,branch_rank,valid_upto,bill_amount,offer_usage_count,discount_amount,area_of_branch,customer_comment,food_rating,serving_rating,category,tip_amount,offer_taken,year
CUST0023,,M,30.0,Branch_7,7,,50.0,0,0.0,LB Nagar,Average experience,4.0,3.0,Non-Veg,300,No,
CUST0024,,F,30.0,Branch_5,5,,300.0,0,0.0,Ameerpet,Not worth it :(,3.0,5.0,Veg,300,No,
CUST0025,,Unknown,25.0,Branch_10,10,,50.0,0,0.0,Mehdipatnam,Very useful offer!!!,5.0,1.0,Veg,0,No,
CUST0026,2025-02-13,F,30.0,Branch_10,10,2025-05-14,300.0,15,60.0,Mehdipatnam,Not worth it :(,1.0,4.0,Non-Veg,100,Yes,2025.0
CUST0027,,F,45.0,Branch_6,6,,600.0,0,0.0,Secunderabad,Crowded but good,2.0,3.0,Non-Veg,20,No,
CUST0028,,Unknown,18.0,Branch_1,1,,600.0,0,0.0,Madhapur,good savings,5.0,2.0,Non-Veg,20,No,
CUST0029,2025-03-01,Unknown,25.0,Branch_6,6,2025-05-30,50.0,2,10.0,Secunderabad,Not much benefit,5.0,3.0,Veg,100,Yes,2025.0
CUST0030,2025-02-12,F,45.0,Branch_2,2,2025-05-13,1200.0,15,240.0,Gachibowli,good savings,1.0,3.0,Non-Veg,10,Yes,2025.0
CUST0031,,Unknown,30.0,Branch_4,4,,600.0,0,0.0,Kukatpally,Loved it ,3.0,3.0,Non-Veg,50,No,
CUST0032,,Unknown,45.0,Branch_2,2,,12000.0,0,0.0,Gachibowli,Very useful offer!!!,1.0,3.0,Veg,300,No,
CUST0033,,Unknown,30.0,Branch_8,8,,300.0,0,0.0,Dilsukhnagar,good savings,1.0,3.0,Veg,100,No,
CUST0034,2025-02-23,F,30.0,Branch_7,7,2025-05-24,1200.0,2,240.0,LB Nagar,Average experience,3.0,1.0,Veg,10,Yes,2025.0
CUST0035,2025-02-12,F,30.0,Branch_7,7,2025-05-13,600.0,0,120.0,LB Nagar,average,2.0,2.0,Non-Veg,0,Yes,2025.0
CUST0036,2025-02-17,Unknown,25.0,Branch_4,4,2025-05-18,12000.0,2,2400.0,Kukatpally,Too crowded!!!,3.0,1.0,Non-Veg,1000,Yes,2025.0
CUST0037,2025-02-24,Unknown,45.0,Branch_8,8,2025-05-25,300.0,3,60.0,Dilsukhnagar,average,2.0,2.0,Veg,300,Yes,2025.0
CUST0038,2025-01-26,Unknown,30.0,Branch_5,5,2025-04-26,600.0,2,120.0,Ameerpet,Loved it ,5.0,3.0,Veg,0,Yes,2025.0
CUST0039,,M,18.0,Branch_5,5,,300.0,0,0.0,Ameerpet,Not worth it :(,4.0,3.0,Non-Veg,1000,No,
CUST0040,,M,30.0,Branch_9,9,,900.0,0,0.0,Uppal,,5.0,2.0,Veg,0,No,
CUST0041,,F,60.0,Branch_9,9,,50.0,0,0.0,Uppal,Crowded but good,1.0,3.0,Veg,100,No,
CUST0042,,Unknown,30.0,Branch_5,5,,3000.0,0,0.0,Ameerpet,Offer okay,4.0,3.0,Veg,100,No,
CUST0043,2025-01-13,Unknown,30.0,Branch_3,3,2025-04-13,3000.0,3,600.0,Hitech City,Did not use offer,1.0,3.0,Veg,10,Yes,2025.0
CUST0044,,Unknown,30.0,Branch_10,10,,12000.0,0,0.0,Mehdipatnam,Not much benefit,4.0,3.0,Veg,100,No,
CUST0045,,M,45.0,Branch_3,3,,12000.0,0,0.0,Hitech City,Did not use offer,3.0,3.0,Non-Veg,20,No,
CUST0046,2025-02-22,F,25.0,Branch_4,4,2025-05-23,300.0,15,60.0,Kukatpally,Very useful offer!!!,1.0,2.0,Non-Veg,100,Yes,2025.0
CUST0047,2025-01-30,Unknown,30.0,Branch_7,7,2025-04-30,3000.0,3,600.0,LB Nagar,,2.0,3.0,Non-Veg,0,Yes,2025.0
CUST0048,2025-02-19,Unknown,30.0,Branch_9,9,2025-05-20,300.0,3,60.0,Uppal,Did not use offer,2.0,1.0,Non-Veg,10,Yes,2025.0
CUST0049,,Unknown,30.0,Branch_9,9,,3000.0,0,0.0,Uppal,Not worth it :(,3.0,5.0,Non-Veg,1000,No,
CUST0050,,Unknown,45.0,Branch_8,8,,300.0,0,0.0,Dilsukhnagar,Too crowded!!!,2.0,3.0,Veg,1000,No,
CUST0051,,Unknown,18.0,Branch_5,5,,3000.0,0,0.0,Ameerpet,good????,3.0,2.0,Veg,20,No,
CUST0052,,F,30.0,Branch_3,3,,1200.0,0,0.0,Hitech City,Crowded but good,3.0,2.0,Non-Veg,10,No,
CUST0053,2025-01-27,M,30.0,Branch_7,7,2025-04-27,600.0,3,120.0,LB Nagar,average,4.0,4.0,Non-Veg,300,Yes,2025.0
CUST0054,2025-02-24,Unknown,45.0,Branch_1,1,2025-05-25,1200.0,15,240.0,Madhapur,Too crowded!!!,4.0,4.0,Non-Veg,300,Yes,2025.0
CUST0055,2025-02-01,Unknown,60.0,Branch_1,1,2025-05-02,600.0,1,120.0,Madhapur,Loved it ,3.0,4.0,Non-Veg,10,Yes,2025.0
CUST0056,,M,30.0,Branch_9,9,,300.0,0,0.0,Uppal,Not worth it :(,5.0,3.0,Veg,0,No,
CUST0057,,M,45.0,Branch_3,3,,300.0,0,0.0,Hitech City,Crowded but good,3.0,2.0,Non-Veg,20,No,
CUST0058,,Unknown,45.0,Branch_5,5,,12000.0,0,0.0,Ameerpet,average,1.0,4.0,Veg,300,No,
CUST0059,2025-03-02,M,30.0,Branch_1,1,2025-05-31,300.0,2,60.0,Madhapur,,1.0,5.0,Veg,10,Yes,2025.0
CUST0060,2025-01-31,Unknown,45.0,Branch_4,4,2025-05-01,50.0,10,10.0,Kukatpally,Too crowded!!!,3.0,2.0,Non-Veg,100,Yes,2025.0
CUST0061,2025-02-19,M,45.0,Branch_2,2,2025-05-20,300.0,15,60.0,Gachibowli,Not worth it :(,3.0,4.0,Non-Veg,300,Yes,2025.0
CUST0062,2025-01-05,M,45.0,Branch_4,4,2025-04-05,3000.0,5,600.0,Kukatpally,average,3.0,5.0,Veg,1000,Yes,2025.0
CUST0063,2025-01-23,Unknown,30.0,Branch_2,2,2025-04-23,900.0,5,180.0,Gachibowli,average,4.0,4.0,Veg,50,Yes,2025.0
CUST0064,,Unknown,25.0,Branch_3,3,,3000.0,0,0.0,Hitech City,good????,5.0,3.0,Veg,100,No,
CUST0065,,Unknown,60.0,Branch_10,10,,900.0,0,0.0,Mehdipatnam,average,2.0,1.0,Veg,50,No,
CUST0066,2025-02-18,Unknown,30.0,Branch_7,7,2025-05-19,1200.0,3,240.0,LB Nagar,Not much benefit,3.0,2.0,Non-Veg,10,Yes,2025.0
CUST0067,,Unknown,45.0,Branch_6,6,,12000.0,0,0.0,Secunderabad,Did not use offer,1.0,5.0,Veg,0,No,
CUST0068,2025-02-16,Unknown,30.0,Branch_4,4,2025-05-17,900.0,3,180.0,Kukatpally,Not much benefit,1.0,1.0,Veg,10,Yes,2025.0
CUST0069,,Unknown,30.0,Branch_5,5,,3000.0,0,0.0,Ameerpet,Did not use offer,5.0,3.0,Non-Veg,300,No,
CUST0070,,Unknown,45.0,Branch_8,8,,600.0,0,0.0,Dilsukhnagar,Average experience,2.0,1.0,Non-Veg,10,No,
CUST0071,,F,30.0,Branch_9,9,,50.0,0,0.0,Uppal,,3.0,4.0,Veg,300,No,
CUST0072,,F,60.0,Branch_5,5,,50.0,0,0.0,Ameerpet,Worth the price??,3.0,1.0,Non-Veg,100,No,
CUST0073,2025-01-18,Unknown,18.0,Branch_3,3,2025-04-18,50.0,0,10.0,Hitech City,average,1.0,5.0,Veg,50,Yes,2025.0
CUST0074,,M,45.0,Branch_3,3,,900.0,0,0.0,Hitech City,average,4.0,1.0,Veg,50,No,
CUST0075,,F,25.0,Branch_1,1,,50.0,0,0.0,Madhapur,Too crowded!!!,5.0,3.0,Veg,10,No,
CUST0076,2025-02-05,F,30.0,Branch_10,10,2025-05-06,900.0,15,180.0,Mehdipatnam,Not much benefit,4.0,3.0,Non-Veg,50,Yes,2025.0
CUST0077,,M,30.0,Branch_1,1,,1200.0,0,0.0,Madhapur,Loved it ,2.0,3.0,Non-Veg,0,No,
CUST0078,2025-01-16,Unknown,30.0,Branch_7,7,2025-04-16,1200.0,1,0.0,LB Nagar,Average experience,1.0,2.0,Veg,300,Yes,2025.0
CUST0079,,F,45.0,Branch_2,2,,3000.0,0,0.0,Gachibowli,Too crowded!!!,3.0,5.0,Non-Veg,1000,No,
CUST0080,2025-01-28,Unknown,25.0,Branch_3,3,2025-04-28,1200.0,0,240.0,Hitech City,good savings,1.0,2.0,Veg,100,Yes,2025.0
CUST0081,,Unknown,30.0,Branch_8,8,,900.0,0,0.0,Dilsukhnagar,Average experience,5.0,5.0,Non-Veg,50,No,
CUST0082,2025-02-08,Unknown,30.0,Branch_10,10,2025-05-09,900.0,0,180.0,Mehdipatnam,good savings,2.0,3.0,Non-Veg,100,Yes,2025.0
CUST0083,2025-02-18,F,30.0,Branch_1,1,2025-05-19,12000.0,10,2400.0,Madhapur,Did not use offer,3.0,4.0,Veg,10,Yes,2025.0
CUST0084,,Unknown,60.0,Branch_2,2,,3000.0,0,0.0,Gachibowli,Crowded but good,3.0,3.0,Non-Veg,0,No,
CUST0085,2025-01-22,M,30.0,Branch_7,7,2025-04-22,3000.0,3,600.0,LB Nagar,good savings,3.0,3.0,Veg,0,Yes,2025.0
CUST0086,,Unknown,30.0,Branch_1,1,,12000.0,0,0.0,Madhapur,Very useful offer!!!,2.0,5.0,Veg,100,No,
CUST0087,,F,45.0,Branch_1,1,,3000.0,0,0.0,Madhapur,Did not use offer,2.0,3.0,Non-Veg,300,No,
CUST0088,,F,25.0,Branch_10,10,,50.0,0,0.0,Mehdipatnam,Average experience,5.0,1.0,Non-Veg,50,No,
CUST0089,2025-01-15,F,30.0,Branch_2,2,2025-04-15,50.0,15,10.0,Gachibowli,,3.0,3.0,Non-Veg,300,Yes,2025.0
CUST0090,,F,30.0,Branch_8,8,,900.0,0,0.0,Dilsukhnagar,Did not use offer,2.0,4.0,Veg,100,No,
CUST0091,2025-02-25,Unknown,45.0,Branch_7,7,2025-05-26,600.0,0,120.0,LB Nagar,average,1.0,3.0,Non-Veg,20,Yes,2025.0
CUST0092,,Unknown,60.0,Branch_8,8,,12000.0,0,0.0,Dilsukhnagar,Offer okay,5.0,5.0,Non-Veg,50,No,
CUST0093,,Unknown,30.0,Branch_4,4,,12000.0,0,0.0,Kukatpally,average,4.0,1.0,Veg,300,No,
CUST0094,,F,30.0,Branch_7,7,,3000.0,0,0.0,LB Nagar,Very useful offer!!!,2.0,5.0,Non-Veg,20,No,
CUST0095,2025-02-25,F,30.0,Branch_1,1,2025-05-26,900.0,15,50.0,Madhapur,average,3.0,2.0,Veg,50,Yes,2025.0
CUST0096,,M,60.0,Branch_7,7,,600.0,0,0.0,LB Nagar,average,3.0,5.0,Non-Veg,20,No,
CUST0097,,M,30.0,Branch_1,1,,12000.0,0,0.0,Madhapur,Loved it ,3.0,3.0,Veg,300,No,
CUST0098,2025-01-28,Unknown,25.0,Branch_2,2,2025-04-28,12000.0,0,2400.0,Gachibowli,good????,3.0,1.0,Veg,20,Yes,2025.0
CUST0099,2025-01-19,Unknown,25.0,Branch_4,4,2025-04-19,600.0,2,120.0,Kukatpally,Worth the price??,2.0,1.0,Non-Veg,1000,Yes,2025.0
CUST0100,,Unknown,25.0,Branch_4,4,,1200.0,0,0.0,Kukatpally,,4.0,3.0,Veg,50,No,
CUST0101,,Unknown,25.0,Branch_8,8,,3000.0,0,0.0,Dilsukhnagar,good savings,4.0,3.0,Non-Veg,20,No,
CUST0102,,Unknown,30.0,Branch_8,8,,3000.0,0,0.0,Dilsukhnagar,Crowded but good,4.0,1.0,Veg,50,No,
CUST0103,,M,30.0,Branch_5,5,,1200.0,0,0.0,Ameerpet,Average experience,1.0,5.0,Non-Veg,1000,No,
CUST0104,2025-02-28,F,60.0,Branch_5,5,2025-05-29,3000.0,5,600.0,Ameerpet,,3.0,2.0,Non-Veg,20,Yes,2025.0
CUST0105,2025-02-10,Unknown,30.0,Branch_5,5,2025-05-11,3000.0,0,600.0,Ameerpet,Not worth it :(,3.0,3.0,Veg,0,Yes,2025.0
CUST0106,,F,30.0,Branch_7,7,,600.0,0,0.0,LB Nagar,Worth the price??,5.0,3.0,Non-Veg,100,No,
CUST0107,,Unknown,45.0,Branch_5,5,,12000.0,0,0.0,Ameerpet,good????,3.0,1.0,Non-Veg,0,No,
CUST0108,2025-02-18,Unknown,18.0,Branch_7,7,2025-05-19,12000.0,1,2400.0,LB Nagar,Too crowded!!!,4.0,1.0,Veg,100,Yes,2025.0
CUST0109,2025-01-30,Unknown,60.0,Branch_5,5,2025-04-30,3000.0,2,600.0,Ameerpet,good savings,3.0,2.0,Non-Veg,0,Yes,2025.0
CUST0110,,Unknown,45.0,Branch_2,2,,1200.0,0,0.0,Gachibowli,Loved it ,4.0,1.0,Veg,0,No,
CUST0111,2025-01-20,Unknown,30.0,Branch_3,3,2025-04-20,50.0,3,10.0,Hitech City,Offer okay,3.0,3.0,Non-Veg,100,Yes,2025.0
CUST0112,,Unknown,18.0,Branch_3,3,,1200.0,0,0.0,Hitech City,average,4.0,5.0,Non-Veg,20,No,
CUST0113,2025-02-14,Unknown,18.0,Branch_4,4,2025-05-15,300.0,2,60.0,Kukatpally,Loved it ,3.0,5.0,Non-Veg,20,Yes,2025.0
CUST0114,2025-01-26,M,30.0,Branch_8,8,2025-04-26,300.0,2,60.0,Dilsukhnagar,Loved it ,3.0,5.0,Veg,0,Yes,2025.0
CUST0115,,F,18.0,Branch_10,10,,300.0,0,0.0,Mehdipatnam,average,5.0,2.0,Non-Veg,10,No,
CUST0116,2025-01-22,M,45.0,Branch_10,10,2025-04-22,300.0,15,60.0,Mehdipatnam,average,2.0,2.0,Non-Veg,20,Yes,2025.0
CUST0117,2025-01-08,F,60.0,Branch_6,6,2025-04-08,12000.0,10,0.0,Secunderabad,Very useful offer!!!,2.0,3.0,Veg,10,Yes,2025.0
CUST0118,,Unknown,30.0,Branch_2,2,,1200.0,0,0.0,Gachibowli,Too crowded!!!,3.0,5.0,Non-Veg,0,No,
CUST0119,,M,45.0,Branch_10,10,,1200.0,0,0.0,Mehdipatnam,Not much benefit,3.0,1.0,Veg,50,No,
CUST0120,,Unknown,30.0,Branch_2,2,,900.0,0,0.0,Gachibowli,good savings,1.0,3.0,Non-Veg,10,No,
CUST0121,2025-01-09,Unknown,30.0,Branch_9,9,2025-04-09,1200.0,2,240.0,Uppal,Not worth it :(,5.0,3.0,Non-Veg,100,Yes,2025.0
CUST0122,,F,30.0,Branch_2,2,,50.0,0,0.0,Gachibowli,Not much benefit,2.0,4.0,Veg,1000,No,
CUST0123,,Unknown,30.0,Branch_2,2,,900.0,0,0.0,Gachibowli,Offer okay,3.0,3.0,Veg,10,No,
CUST0124,,M,30.0,Branch_2,2,,50.0,0,0.0,Gachibowli,good savings,3.0,3.0,Veg,1000,No,
CUST0125,2025-02-05,Unknown,18.0,Branch_9,9,2025-05-06,1200.0,0,240.0,Uppal,Crowded but good,3.0,3.0,Non-Veg,1000,Yes,2025.0
CUST0126,2025-01-19,F,25.0,Branch_10,10,2025-04-19,600.0,5,120.0,Mehdipatnam,Loved it ,4.0,2.0,Veg,20,Yes,2025.0
CUST0127,,F,30.0,Branch_10,10,,50.0,0,0.0,Mehdipatnam,average,5.0,5.0,Non-Veg,300,No,
CUST0128,2025-02-08,F,45.0,Branch_1,1,2025-05-09,12000.0,10,2400.0,Madhapur,good????,3.0,3.0,Veg,0,Yes,2025.0
CUST0129,2025-02-25,F,30.0,Branch_2,2,2025-05-26,1200.0,1,240.0,Gachibowli,good savings,3.0,5.0,Veg,50,Yes,2025.0
CUST0130,,Unknown,45.0,Branch_3,3,,900.0,0,0.0,Hitech City,good????,3.0,5.0,Non-Veg,0,No,
CUST0131,2025-01-10,Unknown,30.0,Branch_2,2,2025-04-10,12000.0,1,2400.0,Gachibowli,Loved it ,4.0,4.0,Non-Veg,50,Yes,2025.0
CUST0132,,M,60.0,Branch_9,9,,600.0,0,0.0,Uppal,Crowded but good,1.0,3.0,Non-Veg,300,No,
CUST0133,,M,30.0,Branch_5,5,,1200.0,0,0.0,Ameerpet,Crowded but good,5.0,1.0,Veg,10,No,
CUST0134,,Unknown,60.0,Branch_5,5,,300.0,0,0.0,Ameerpet,good savings,1.0,4.0,Non-Veg,50,No,
CUST0135,2025-01-09,Unknown,18.0,Branch_9,9,2025-04-09,1200.0,3,240.0,Uppal,Crowded but good,3.0,1.0,Non-Veg,0,Yes,2025.0
CUST0136,,Unknown,30.0,Branch_10,10,,50.0,0,0.0,Mehdipatnam,good????,3.0,4.0,Veg,0,No,
CUST0137,,Unknown,60.0,Branch_3,3,,50.0,0,0.0,Hitech City,good savings,4.0,1.0,Veg,50,No,
CUST0138,,Unknown,60.0,Branch_7,7,,1200.0,0,0.0,LB Nagar,,3.0,2.0,Veg,100,No,
CUST0139,2025-02-03,Unknown,25.0,Branch_6,6,2025-05-04,300.0,5,60.0,Secunderabad,,1.0,2.0,Veg,10,Yes,2025.0
CUST0140,2025-02-08,F,30.0,Branch_2,2,2025-05-09,12000.0,1,2400.0,Gachibowli,Not much benefit,5.0,5.0,Non-Veg,300,Yes,2025.0
CUST0141,,F,30.0,Branch_6,6,,12000.0,0,0.0,Secunderabad,good savings,4.0,4.0,Non-Veg,20,No,
CUST0142,,M,45.0,Branch_6,6,,1200.0,0,0.0,Secunderabad,Not much benefit,4.0,1.0,Veg,20,No,
CUST0143,,Unknown,30.0,Branch_2,2,,50.0,0,0.0,Gachibowli,Not worth it :(,5.0,3.0,Veg,50,No,
CUST0144,2025-01-21,Unknown,18.0,Branch_1,1,2025-04-21,900.0,5,180.0,Madhapur,Too crowded!!!,3.0,3.0,Veg,100,Yes,2025.0
CUST0145,2025-01-03,F,60.0,Branch_8,8,2025-04-03,3000.0,1,600.0,Dilsukhnagar,Offer okay,3.0,4.0,Non-Veg,1000,Yes,2025.0
CUST0146,,Unknown,18.0,Branch_1,1,,3000.0,0,0.0,Madhapur,Offer okay,1.0,5.0,Non-Veg,50,No,
CUST0147,,F,60.0,Branch_10,10,,600.0,0,0.0,Mehdipatnam,good savings,5.0,3.0,Veg,20,No,
CUST0148,,F,18.0,Branch_7,7,,3000.0,0,0.0,LB Nagar,Average experience,5.0,4.0,Non-Veg,1000,No,
CUST0149,,M,30.0,Branch_9,9,,12000.0,0,0.0,Uppal,Did not use offer,3.0,1.0,Veg,20,No,
CUST0150,2025-03-02,F,30.0,Branch_8,8,2025-05-31,600.0,1,120.0,Dilsukhnagar,Worth the price??,2.0,1.0,Veg,1000,Yes,2025.0
CUST0151,2025-02-02,M,60.0,Branch_9,9,2025-05-03,1200.0,15,240.0,Uppal,,5.0,2.0,Non-Veg,50,Yes,2025.0
CUST0152,2025-01-11,F,30.0,Branch_10,10,2025-04-11,12000.0,1,2400.0,Mehdipatnam,Very useful offer!!!,4.0,3.0,Non-Veg,300,Yes,2025.0
CUST0153,2025-01-29,F,30.0,Branch_8,8,2025-04-29,600.0,5,120.0,Dilsukhnagar,Average experience,4.0,2.0,Veg,300,Yes,2025.0
CUST0154,,Unknown,25.0,Branch_7,7,,900.0,0,0.0,LB Nagar,average,2.0,5.0,Veg,1000,No,
CUST0155,,Unknown,18.0,Branch_8,8,,50.0,0,0.0,Dilsukhnagar,good????,5.0,1.0,Veg,0,No,
CUST0156,2025-01-18,M,30.0,Branch_7,7,2025-04-18,1200.0,3,240.0,LB Nagar,average,4.0,3.0,Veg,50,Yes,2025.0
CUST0157,2025-01-26,Unknown,30.0,Branch_2,2,2025-04-26,600.0,5,120.0,Gachibowli,Very useful offer!!!,3.0,1.0,Non-Veg,300,Yes,2025.0
CUST0158,,M,45.0,Branch_3,3,,12000.0,0,0.0,Hitech City,,4.0,3.0,Veg,1000,No,
CUST0159,,M,30.0,Branch_1,1,,900.0,0,0.0,Madhapur,Average experience,2.0,2.0,Non-Veg,300,No,
CUST0160,,Unknown,18.0,Branch_4,4,,50.0,0,0.0,Kukatpally,Very useful offer!!!,2.0,4.0,Non-Veg,1000,No,
CUST0161,,M,30.0,Branch_8,8,,50.0,0,0.0,Dilsukhnagar,good????,2.0,3.0,Non-Veg,0,No,
CUST0162,,F,18.0,Branch_7,7,,300.0,0,0.0,LB Nagar,Did not use offer,3.0,1.0,Non-Veg,100,No,
CUST0163,2025-01-25,Unknown,30.0,Branch_6,6,2025-04-25,900.0,15,50.0,Secunderabad,Offer okay,1.0,3.0,Veg,300,Yes,2025.0
CUST0164,2025-02-19,M,60.0,Branch_3,3,2025-05-20,3000.0,5,600.0,Hitech City,Did not use offer,3.0,3.0,Veg,1000,Yes,2025.0
CUST0165,,F,18.0,Branch_3,3,,3000.0,0,0.0,Hitech City,good????,4.0,1.0,Veg,10,No,
CUST0166,2025-02-20,Unknown,30.0,Branch_5,5,2025-05-21,50.0,1,10.0,Ameerpet,Average experience,1.0,3.0,Veg,20,Yes,2025.0
CUST0167,,Unknown,18.0,Branch_6,6,,12000.0,0,0.0,Secunderabad,Too crowded!!!,3.0,4.0,Non-Veg,300,No,
CUST0168,,Unknown,30.0,Branch_3,3,,900.0,0,0.0,Hitech City,Offer okay,5.0,3.0,Veg,300,No,
CUST0169,,F,45.0,Branch_10,10,,50.0,0,0.0,Mehdipatnam,Offer okay,1.0,1.0,Veg,300,No,
CUST0170,,Unknown,25.0,Branch_10,10,,600.0,0,0.0,Mehdipatnam,good????,4.0,3.0,Non-Veg,0,No,
CUST0171,,M,18.0,Branch_5,5,,1200.0,0,0.0,Ameerpet,Loved it ,3.0,4.0,Veg,100,No,
CUST0172,2025-03-02,M,25.0,Branch_8,8,2025-05-31,300.0,0,60.0,Dilsukhnagar,good savings,2.0,3.0,Veg,20,Yes,2025.0
CUST0173,,F,30.0,Branch_10,10,,1200.0,0,0.0,Mehdipatnam,Offer okay,3.0,4.0,Veg,100,No,
CUST0174,2025-02-03,F,18.0,Branch_5,5,2025-05-04,900.0,2,180.0,Ameerpet,Very useful offer!!!,3.0,2.0,Non-Veg,100,Yes,2025.0
CUST0175,,Unknown,30.0,Branch_5,5,,1200.0,0,0.0,Ameerpet,,5.0,3.0,Non-Veg,50,No,
CUST0176,2025-01-08,M,60.0,Branch_8,8,2025-04-08,12000.0,1,0.0,Dilsukhnagar,Loved it ,3.0,3.0,Veg,100,Yes,2025.0
CUST0177,,Unknown,30.0,Branch_3,3,,600.0,0,0.0,Hitech City,good savings,2.0,2.0,Veg,1000,No,
CUST0178,,Unknown,30.0,Branch_9,9,,50.0,0,0.0,Uppal,Too crowded!!!,5.0,2.0,Non-Veg,0,No,
CUST0179,2025-01-20,Unknown,30.0,Branch_9,9,2025-04-20,3000.0,3,600.0,Uppal,average,5.0,1.0,Veg,20,Yes,2025.0
CUST0180,2025-01-29,F,25.0,Branch_3,3,2025-04-29,3000.0,3,600.0,Hitech City,Crowded but good,5.0,1.0,Veg,100,Yes,2025.0
CUST0181,2025-01-20,Unknown,45.0,Branch_4,4,2025-04-20,300.0,1,60.0,Kukatpally,average,1.0,3.0,Veg,300,Yes,2025.0
CUST0182,,M,25.0,Branch_5,5,,300.0,0,0.0,Ameerpet,Not worth it :(,5.0,2.0,Veg,300,No,
CUST0183,,M,18.0,Branch_1,1,,12000.0,0,0.0,Madhapur,Very useful offer!!!,3.0,5.0,Veg,300,No,
CUST0184,2025-02-19,Unknown,45.0,Branch_1,1,2025-05-20,900.0,5,180.0,Madhapur,Loved it ,3.0,4.0,Veg,1000,Yes,2025.0
CUST0185,,M,25.0,Branch_2,2,,600.0,0,0.0,Gachibowli,Not much benefit,4.0,4.0,Non-Veg,10,No,
CUST0186,,Unknown,60.0,Branch_6,6,,1200.0,0,0.0,Secunderabad,Crowded but good,2.0,3.0,Non-Veg,100,No,
CUST0187,2025-01-21,F,25.0,Branch_8,8,2025-04-21,900.0,1,180.0,Dilsukhnagar,good savings,1.0,3.0,Non-Veg,1000,Yes,2025.0
